country;year;month;MCS;CG;volume(Kg);weight;value(EUR)
Hungary;2019;2;Miscellaneous aquatic products;Other unspecified products;332372.34;Net weight;2064068.86
Hungary;2019;3;Miscellaneous aquatic products;Other unspecified products;262721.8;Net weight;1601323.42
Hungary;2019;4;Miscellaneous aquatic products;Other unspecified products;423163.79;Net weight;2226660.36
Hungary;2019;5;Miscellaneous aquatic products;Other unspecified products;346232.48;Net weight;2345913.22
Hungary;2019;6;Miscellaneous aquatic products;Other unspecified products;370374.42;Net weight;1818289.06
Hungary;2019;7;Miscellaneous aquatic products;Other unspecified products;370970.4;Net weight;1730164.3
Hungary;2019;8;Miscellaneous aquatic products;Other unspecified products;269961.55;Net weight;1506366.8
Hungary;2019;9;Miscellaneous aquatic products;Other unspecified products;333269.96;Net weight;1738891.5
Hungary;2018;1;Miscellaneous aquatic products;Other unspecified products;337925.5;Net weight;1697926.3
Hungary;2018;10;Miscellaneous aquatic products;Other unspecified products;317630.9;Net weight;1730965.39
Hungary;2018;11;Miscellaneous aquatic products;Other unspecified products;376488.9;Net weight;2443180.59
Hungary;2018;12;Miscellaneous aquatic products;Other unspecified products;2163051.5;Net weight;1.189728862E7
Hungary;2018;2;Miscellaneous aquatic products;Other unspecified products;226349.0;Net weight;1281042.12
Hungary;2018;3;Miscellaneous aquatic products;Other unspecified products;457607.2;Net weight;2451051.74
Hungary;2018;4;Miscellaneous aquatic products;Other unspecified products;214829.3;Net weight;1370389.75
Hungary;2018;5;Miscellaneous aquatic products;Other unspecified products;302442.1;Net weight;1578505.39
Hungary;2018;6;Miscellaneous aquatic products;Other unspecified products;223236.2;Net weight;1162122.39
Hungary;2018;7;Miscellaneous aquatic products;Other unspecified products;204313.5;Net weight;1017163.61
Hungary;2018;8;Miscellaneous aquatic products;Other unspecified products;260216.9;Net weight;1526016.25
Hungary;2018;9;Miscellaneous aquatic products;Other unspecified products;241904.1;Net weight;1284136.72
Hungary;2017;1;Miscellaneous aquatic products;Other unspecified products;153263.4;Net weight;921363.92
Hungary;2017;10;Miscellaneous aquatic products;Other unspecified products;208841.0;Net weight;1260322.57
Hungary;2017;11;Miscellaneous aquatic products;Other unspecified products;325572.5;Net weight;1836202.11
Hungary;2017;12;Miscellaneous aquatic products;Other unspecified products;1939570.0;Net weight;1.040482642E7
